run_id,checkpoint,benchmark,task,category,prompt_id,prompt_hash,prompt_level_strict,passed_instruction_count,supported_instruction_count,unsupported_instruction_count,generated_sha256,generation_input_tokens,generation_output_tokens
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:0,568d9f87e12172fe23bba70a40f757162ac473d8f8cce6862604ba69853f82d3,False,2,3,0,502c6f719b8924325e926355e8b9da4899eafc571b52409c9acecb1f7e357356,89,768
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:1,9afd3974a97dce68f083f36f390aaf6b5668b134a341150d2ff7b75584a3494a,True,1,1,0,077627c66cfa45fed1dd3e9c93a26de44192e59935c0d195a4d87b7960b2794e,50,768
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:2,42349354adf5ed8c125309c94b0dbf50f6a55e8a8381c89177dae605c4fa30ee,True,1,1,0,25677075e831e07a3894a42eb3a0dc121c26844df068a419c1063562fc7595e1,51,490
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:3,af0af45c82f12871ce2d74c46d39bd63e68dda332b2dc4799b631674cd9f7eeb,False,1,2,0,bf8a020627f8a960ef01bd168e8dd634e3ff8df217a5ec77f1fdb51945790dd0,88,490
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:4,3e68d6ffa924607fb0a5581583b3b62fd83f497221542eff8e08fbdee5ab0bb9,True,1,1,0,dfc004f7c655ce1cb88691fd2b3374bb898ca5f34144e4e4cfc55dfe4ff3a046,52,66
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:5,967a0cc5458cbdf19c4a071581dbbe4593390b364d662844d43847f8375e6088,True,1,1,0,93d3eeed1778048be0a69643b8ec1e9cc6fdf2d9d7714a3e1f41b720b455c8fc,85,66
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:6,8fae48ebac6ef80ed57f79f9dc0ab60dc733f0c0931e57b9b04da98a14ee371c,True,2,2,0,59e4b45b02075f47d635e9bc3e42a4b0f51e5d40ea981427ea08ad30d7cd2017,54,349
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:7,5a4c6eac29ec8d1d25e8ada5c34a9d03d7ad475a4a42d20c3f409b182ae04ae5,False,2,3,0,c50f0abcef79bd734b5e62d98f030d424b198a3f7a280540e9cc190772cfbc62,58,349
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:8,a57019da358a4dc65c27c557aa24e97086e628787538425f9a14eec670545965,True,1,1,0,ff51ca87d57efb8a3d5b0d84222c5f59d3c19494a097fed074fcd4d13c6ef085,29,420
r004,sft_best,IFEval,ifeval_style,instruction_following,ifeval:9,af6d86d9adfd5f2097146fad6f785d94eca428e22ea3358df6fbbb2566c2fbad,False,1,3,0,3273ee09b3756649f39bee7d70eb8c8c72130fcd897fbe8781fbe887612a656b,59,420
